1. 科目に対応するコースへ自身が登録されているか確認する方法はありますか？ 2. 資料の利用可能期間を設定する方法はありますか？ 3. フォルダやファイルを非表示にする方法はありますか？
1. テスト/アンケートの回答内容を保存する方法はありますか？ 2. テスト/アンケートの回答内容を提出するためには、どのボタンを押す必要がありますか？ 3. テスト/アンケートの回答内容を保存した場合、教員はそれを確認することができますか？
1. テスト/アンケートを閲覧・回答できない場合、自身が登録されている科目のコースを確認しましたか？ 2. テスト/アンケートの開示・回答期間が正しく設定されているか、授業担当の先生に確認しましたか？ 3. テスト/アンケートの回答可能ユーザが「回答用 URL を連絡した相手」に設定されていないことを確認しましたか？
1. プレビュー機能を使用するための手順は、授業担当者向けマニュアルの何ページに記載されていますか？ 2. プレビュー機能に関する詳細情報を探すために、どのドキュメントを参照すればよいですか？ 3. プレビュー機能の利用方法について、授業担当者向けマニュアルのどの範囲を参照すれば理解できますか？
1. 「テスト/アンケート」の「採点」項目で「受講生の識別情報」を「匿名採点だけ」に設定する方法はありますか？ 2. 「匿名採点だけ」の設定がされている場合、提出IDが表示されているのに氏名が確認できない場合はどうすればいいですか？ 3. 「匿名採点だけ」の設定を確認する方法はありますか？
1. システム管理者に連絡する方法はありますか？ 2. TA/チューターとして登録されているユーザが問題を入力する手順はありますか？ 3. 問題プールを使ったテスト/アンケートの作成と開示方法はありますか？
1. kibacoで半角文字のみを入力させるための注意書きはありますか？ 2. kibacoで入力文字種を制限する方法はありますか？ 3. kibacoで全角文字を入力させないようにする方法はありますか？
1. 「問題プール」を利用するためには、どのような手順が必要ですか？ 2. 「問題プール」に問題を追加する方法を教えてください。 3. 「問題プール」から自動的に問題を選んでテストを作成する方法を教えてください。
1. テストを作成した後に問題プールの設問の「答え」を修正する方法はありますか？ 2. テストを作成した後に問題プールの設問の「答え」を修正しても、既に作成したテストには自動で反映されない理由は何ですか？ 3. テストを作成した後に問題プールの設問の「答え」を修正する場合、どのようにして既存のテストに反映させることができますか？
1. 問題プールを共有するためには、どのような手順が必要ですか？ 2. 「TA/チューター」を共有相手に追加するためには、どのように連絡すればよいですか？ 3. サブプールに問題を追加するには、どのような権限が必要ですか？
1. 遅延回答は何回までできますか？詳細はどこで確認できますか？ 2. 遅延回答の方法について詳しく教えてください。具体的な手順や注意点はありますか？ 3. 遅延回答を行う際に注意すべきポイントや制約事項はありますか？
1. テスト/アンケート結果をエクスポートしたファイルにはどのような情報が記載されますか？ 2. テスト/アンケート結果のエクスポートファイルに「遅延」ステータスが記載されない理由は何ですか？ 3. テスト/アンケート結果のエクスポートファイルに記載される提出日時はどのように確認できますか？
1. テスト/アンケート画面から回答を保存する方法はありますか？ 2. テスト/アンケートに回答している場合、途中で回答を保存して別の機会に再開することはできますか？ 3. URLを連絡されて回答している場合、回答を保存して別の機会に再開することはできますか？
1. アンケートの公開方法が「回答用URLを連絡した相手」の場合、再開する方法はありますか？ 2. アンケートの公開方法が「回答用URLを連絡した相手」の場合、回答を保存する方法はありますか？ 3. アンケートの公開方法が「回答用URLを連絡した相手」の場合、回答を一時的に中断して後で再開することはできますか？
1. kibacoは特殊文字（例：数字、HTMLタグ、改行コード）を自動的に修正する機能はありますか？ 2. kibacoでエクスポートしたファイルを加工する方法はありますか？ 3. kibacoで特殊文字を修正するためのベストプラクティスはありますか？
1. 「テスト/アンケート」を公開した後、設問文を修正する方法はありますか？ 2. 「テスト/アンケート」の設問文を修正するためには、どのような手順を踏む必要がありますか？ 3. 「テスト/アンケート」の設問文を修正する際、修正内容が反映されるまでにはどのくらいの時間がかかりますか？
1. テスト/アンケートの結果をエクスポートしたファイルには、回答者の情報（名前、学籍番号など）も含まれますか？ 2. テスト/アンケートの結果をエクスポートしたファイルには、回答の日時情報も含まれますか？ 3. テスト/アンケートの結果をエクスポートしたファイルには、回答の正誤情報も含まれますか？
1. 「テスト/アンケート」の回答用URLを連絡した相手に複数回の回答があった場合、それぞれの回答は別々の人が回答したものとして処理されますか？ 2. 「テスト/アンケート」の回答は締切日までなら許された回数だけ回答できますが、回答を修正することはできますか？ 3. 「テスト/アンケート」が「匿名」で公開されている場合、複数回の回答があるとどのように処理されますか？
1. 受講生モードでの確認方法はどのようになっていますか？ 2. 受講生権限に切り替えるための手順はありますか？ 3. 授業担当者向けマニュアルの94~95ページには、受講生モードに関する詳細が記載されていますか？
1. コースの引き継ぎはできますか？ 2. 資料コンテンツを他のコースにコピーする方法はありますか？ 3. 授業担当者向けマニュアルのどのページに、コース間での資料コンテンツのコピー方法が記載されていますか？
1. 科目に対応するコースを複数年度利用することはできますか？ 2. 昨年度のコースから授業コンテンツをコピーすることは可能ですか？ 3. 授業担当者向けマニュアルのどのページに詳細が記載されていますか？
1. ファイルのアップロードが失敗する原因は何ですか？ 2. 推奨環境外のブラウザを使用している場合、どのようにアップロードできないことがありますか？ 3. 特定のバーションのMicrosoft Edgeでファイルを開いたままアップロードすると、なぜ空のファイルになることがありますか？
1. アップロードできるファイルの最大容量は何ですか？ 2. 各コースにアップロードできるファイルの総容量は何ですか？ 3. 空のファイルをアップロードした場合、表示されるファイルサイズはどのようになりますか？
1. kibacoでアップロードできるファイル形式は何ですか？ 2. kibacoでアップロードできる動画ファイルの容量制限はありますか？ 3. kibacoでSCORM 2004形式のパッケージをアップロードする方法はどこで説明されていますか？
1. 教育研究用情報システムのユーザIDが作成されていない先生は、どのようにして作成することができますか？ 2. 担当教員が変更になった場合、kibacoへの変更反映はどのように行われますか？ 3. 担当科目のコースへの登録がされていない先生は、どのようにして登録することができますか？
1. kibacoを利用するためには、どのような手続きが必要ですか？ 2. 授業コースに登録されていない場合、どのように対応すればよいですか？ 3. 非常勤から常勤に切り替わった場合、自動で登録されない理由は何ですか？
1. 非常勤教員がkibacoを利用するためには、どのような手続きが必要ですか？ 2. 「教育研究用情報システム」のユーザIDを取得する方法を教えてください。 3. 非常勤教員がkibacoを利用するためには、毎年度科目ごとにコース登録の申請が必要ですか？
1. 新学期が始まる約一ヶ月までの情報を基にしているとありますが、具体的にどのような情報が含まれていますか？ 2. 授業担当者が変更された場合、登録解除の手続きはどのように行えばよいですか？ 3. 登録解除の申請メールを送る際に必要な情報は何ですか？
1. 「教育研究用情報システム」のユーザIDを取得するための手続きはどのように行えばよいですか？ 2. 研究生や特別科目等履修生などでない場合、聴講生や科目等履修生として「教育研究用情報システム」を利用するにはどのような手続きが必要ですか？ 3. 授業担当の先生が授業用IDを申請し、発行されたIDを利用する場合、どのような手順でIDを利用することができますか？
1. コースが表示されない場合、自分が登録されている科目はどのように確認すれば良いですか？ 2. 画面上部の「-続く-」に授業タブが存在する場合、そのタブの順序や数を変更する方法はありますか？ 3. タブに表示されない授業がある場合、どのように設定を変更すれば表示されるようになりますか？
1. 履修申請した受講生の履修状態が「本登録」と表示されない場合、どのような問題が考えられますか？ 2. 仮登録の状態でもkibacoのコースを利用することはできますが、単位を取得するためにはどのような手続きが必要ですか？ 3. 学生をTA/チューターとして登録する際に必要な手続きや権限の与え方について、詳細はどこで確認できますか？
1. 履修申請した結果がkibacoに反映される時間帯は何時から何時までですか？ 2. 授業当日に履修申請した場合、履修申請の結果はいつ反映されますか？ 3. kibacoの時間割に表示されない科目の履修申請結果はどこで確認すればよいですか？
1. 仮登録の受講生が履修申請を取り下げた場合、どのような状態になりますか？ 2. 事務情報システムに登録されていないコースをkibaco上で作成して利用している場合、受講生はどのような状態になりますか？ 3. 仮登録の受講生をコースから登録解除するには、どのような手続きが必要ですか？
1. 学生がコースへの自己登録をするためには、どのような設定が必要ですか？ 2. 学生が自己登録したいと思っても、授業担当の先生が設定しなければ自己登録はできませんか？ 3. 学部1年生がkibacoを利用するためには、どの条件を満たす必要がありますか？
1. 自己登録した科目を履修申請しなかった場合、どのように自己登録を解除することができますか？ 2. 自己登録した科目が副科目になっている場合、履修申請を取り下げてもコースから登録が解除されない理由は何ですか？ 3. 登録を解除する必要がある場合、システム管理室2へ連絡する方法はありますか？
1. kibacoで科目集約を行うと、どのようなメリットがありますか？ 2. 科目集約を行うためには、どのような手続きが必要ですか？ 3. 科目集約を行った場合、副科目コースにはどのような影響がありますか？
1. 科目を集約するとはどういう意味ですか？ 2. 科目を集約した場合、どのような利点がありますか？ 3. 科目を集約した後、解除する方法はありますか？
1. 副科目のコースにアクセスできるのは誰ですか？ 2. 副科目のコースへのアクセス権限を持つのは誰ですか？ 3. 授業担当教員は副科目コースのタブを非表示にすることができますか？
1. kibacoの授業コースはどのように作成されますか？ 2. 同じ科目でも異なる授業番号が割り振られる場合、それはどのような条件で分かれていますか？ 3. 科目集約とは何ですか？どのように行われますか？
1. 科目を集約すると、受講生の副科目も自動的に主科目に登録されるのですか？ 2. 科目を集約した後、受講生は副科目にアクセスすることはできなくなるのですか？ 3. 受講生が誤って副科目に登録した場合、それを修正する方法はありますか？
1. kibacoのパスワードが有効期限切れで利用できなくなった場合、どのように新しいパスワードを設定できますか？ 2. TMUNER上で新しいパスワードを設定するためには、どのような手順を踏む必要がありますか？ 3. ユーザIDやパスワードを忘れてしまった場合、どのように再設定することができますか？
1. kibacoで出席管理機能を利用する方法はありますか？ 2. kibacoの掲示板機能を使って出席管理を行う方法を教えてください。 3. kibacoの課題機能を使って出席管理を行う手順を教えてください。
1. 受講生全員に伝えるべき重要な情報を開示期間を設定して伝達する方法は何ですか？ 2. 受講生全員に通知するために、電子メールとしても通知するオプションを設定する方法はありますか？ 3. 受講生がクラス全員に情報を伝達するために利用できる機能は、具体的にどの3つですか？
1. メッセージ機能を使って、指定した受講生にのみメッセージを送信する方法はありますか？ 2. メッセージを電子メールとしても送信するためには、どのような手順が必要ですか？ 3. 授業担当者向けマニュアルの119~122ページには、メッセージ機能に関する詳細が記載されていますか？
1. メッセージ機能を表示するための手順はどこに記載されていますか？ 2. メッセージ機能の初期設定は非表示ですか？ 3. メッセージ機能を利用するためにはどのマニュアルを参照すれば良いですか？
1. メッセージを一斉送信した場合、受信できるのはどのユーザですか？ 2. 受講生同士でのメールアドレス情報漏えいを防ぐためには、どのような方法がありますか？ 3. 「電子メールとしても送信」をチェックしない場合、メッセージはどこでやりとりされますか？
1. お知らせを閲覧できるのはどのユーザですか？ 2. 「表示日数制限」の項目内で利用期間を設定した場合、期間より前に受講生がお知らせを閲覧できますか？ 3. お知らせの詳細についてはどのドキュメントを参照すればよいですか？
1. 掲示板メニューの「ウォッチ」を設定する方法は？ 2. ウォッチを設定したユーザは、通知を受け取るためにどのような設定を行う必要がありますか？ 3. ウォッチを設定しているユーザが掲示板への書き込みを通知する方法は？
1. 受講生が新しいスレッドを作成できない場合、権限の変更方法はありますか？ 2. スレッド作成権限の変更方法について、詳細な手順を教えてください。 3. 初期設定で受講生がスレッドを作成できるようにするためには、どのような設定を変更する必要がありますか？
1. 掲示板に対して読み書きできるのはどのユーザですか？ 2. 掲示板の利用方法について詳細を教えてください。 3. 授業担当者向けマニュアルの85~89ページにはどのような情報が記載されていますか？
1. 課題提出時のメール通知を停止する方法はありますか？ 2. リマインダーの設定方法を教えてください。 3. メール通知の送信元アドレスを変更することはできますか？
1. 大学院生の学修番号を手動で登録する方法はありますか？ 2. 進学後に交付された学修番号を登録するための手順を教えてください。 3. 受講生が大学院生の場合、新しい学修番号を登録しないとどのような問題が発生しますか？
1. kibacoに登録する際、メールアドレスはどのような条件で制限されていますか？ 2. kibacoに登録する際、メールアドレスはどのような形式で入力する必要がありますか？ 3. 大学が発行しているメールアドレス以外でkibacoに登録する方法はありますか？
1. 年度が変わった後、前年度のコースの授業タブを表示する方法はありますか？ 2. マイページの授業一覧から前年度のコースにアクセスする方法はありますか？ 3. 授業タブの表示・非表示の設定はどのように行えますか？
1. 授業コースの「授業情報」の「機能を編集」ボタンはどこにありますか？ 2. 「機能を編集」ボタンで利用できる機能にはどのようなものがありますか？ 3. 不要な機能を非表示にする方法はありますか？
1. kibacoを利用するためには、インターネットに接続する必要がありますか？ 2. kibacoの機能を利用するためには、どのマニュアルを参照すれば良いですか？ 3. kibacoを利用する際の詳細な手順は、どのページで確認できますか？
1. ログを見ることができない特別な事情とは何ですか？ 2. システム管理室2に問い合わせる際に必要な情報はありますか？ 3. ログを見ることができない場合、問題のトラブルシューティング方法はありますか？
1. Windows 8のスタート画面のタイルから起動したIE（タッチ用IE）では、どのような機能が使用できないのですか？ 2. Mac OS X 10.8.5で利用できるブラウザは、Safari6.1.6、Firefox24以降、Chromeですが、それぞれのブラウザの特徴や違いはありますか？ 3. Windows7、8、10で利用できるブラウザはIE10以降、Microsoft Edge、Firefox24以降、Chromeですが、それぞれのブラウザの推奨環境や動作要件は何ですか？
